country,epgshare_id,epgshare_name,candidate_tvg_id,candidate_key,score
ie,Disc.Channel.+1.ie,Disc Channel +1,ChannelS.uk@SD,channels,78.75
ie,Channel.4.+1.ie,Channel 4 +1,ChannelS.uk@SD,channels,82.35294117647058
ie,Sky.Witness.+1.ie,Sky Witness +1,SkyNews.ie@SD,skynews,66.66666666666667
ie,More4+1.ie,More4+1,MoreTVCrime.de@GB,moretvcrime,80.0
ie,Comedy.+1.ie,Comedy +1,PlutoTVComedyMovies.de@GB,plutotvcomedymovies,77.14285714285715
ie,TRTE.ie,TRTE,BBCThreeCBBC.uk@HD,bbcthreecbbc,67.5
ie,Nick.Toons.ie,Nick Toons,Nickelodeon.uk@SD,nickelodeon,70.0
ie,MTV.ie,MTV,BETPlutoTV.de@GB,betplutotv,72.0
ie,More4.HD.ie,More4 HD,MoreTVCrime.de@GB,moretvcrime,80.0
ie,Sky.Witness.ie,Sky Witness,SkyNews.ie@SD,skynews,70.58823529411764
ie,Sky.Crime.ie,Sky Crime,PlutoTVAmericanTrueCrime.de@GB,plutotvamericantruecrime,69.23076923076923
ie,Sky.Arts.ie,Sky Arts,SkySportsF1.ie@SD,skysportsf1,66.66666666666667
ie,SKY.One.ie,SKY One,SkyNews.ie@SD,skynews,76.92307692307692
ie,Sky.History.ie,Sky History,SkyMix.uk@HD,skymix,65.45454545454547
ie,Sky.Sci-Fi.ie,Sky Sci-Fi,PlutoTVSciFi.de@GB,plutotvscifi,69.23076923076923
ie,DCTV.ie,DCTV,PlutoTVClassicTV.de@GB,plutotvclassictv,77.14285714285715
ie,CCTv.ie,CCTv,PlutoTVClassicTV.de@GB,plutotvclassictv,77.14285714285715
ie,EWTN.ie,EWTN,SabrinaTheTeenageWitch.de@GB,sabrinatheteenagewitch,67.5
ie,The.God.Channel.ie,The God Channel,ChannelS.uk@SD,channels,84.0
ie,TV5.ie,TV5,BETPlutoTV.de@GB,betplutotv,72.0
de,VOX.de,VOX,VolksmusikTV.de@SD,volksmusiktv,72.0
de,Servus.TV.Österreich.de,Servus TV Österreich,HSE.de@SD,hse,72.0
de,Tele.5.de,Tele 5,AdriaMusicTelevision.de@SD,adriamusictelevision,72.0
de,NITRO.de,NITRO,RFO.de@SD,rfo,72.0
de,ProSieben.MAXX.de,ProSieben MAXX,ProSieben.de@SD,prosieben,81.81818181818181
de,SWR/SR.de,SWR/SR,SRF.de@SD,srf,72.0
de,Nicktoons.de,Nicktoons,NickelodeonToons.de@DACH,nickelodeontoons,72.0
de,TLC.de,TLC,RTLSuper.de@HD,superrtl,72.0
de,Home.&.Garden.TV.de,Home & Garden TV,BadenTV.de@SD,badentv,77.14285714285715
de,Marco.Polo.TV.de,Marco Polo TV,MTV.de@SD,mtv,72.0
de,travelxp.4K.de,travelxp 4K,AutenticTravel.de@SD,autentictravel,77.14285714285715
de,Rocket.Beans.TV.de,Rocket Beans TV,MTV.de@SD,mtv,72.0
de,kabel.eins.Doku.de,kabel eins Doku,kabeleins.de@SD,kabeleins,81.81818181818181
de,Prime.HD.de,Prime HD,PlutoTVCrime.de@DACH,plutotvcrime,80.0
de,Bloomberg.Europe.TV.de,Bloomberg Europe TV,MTV.de@SD,mtv,72.0
de,CNBC.de,CNBC,OFTVOffenbach.de@SD,oftvoffenbach,67.5
de,France.24.(engl.).de,France 24 (engl.),RAN1.de@SD,ran1,67.5
de,France.24.(franz.).de,France 24 (franz.),RAN1.de@SD,ran1,67.5
de,NHK.World.TV.de,NHK World TV,MTV.de@SD,mtv,72.0
de,Channel21.de,Channel21,HopeChannelGerman.de@SD,hopechannelgerman,70.00000000000001
de,tv.berlin.de,tv.berlin,MTV.de@SD,mtv,72.0
de,ATV.II.de,ATV II,SophiaTV.de@SD,sophiatv,67.5
de,BBC.Two.de,BBC Two,BBCTravel.us@Germany,bbctravel,72.0
de,Canal+.de,Canal+,teltOwkanal.de@SD,teltowkanal,80.0
de,Canale.5.de,Canale 5,teltOwkanal.de@SD,teltowkanal,65.45454545454547
de,ORF.1.de,ORF 1,WDRFernsehen.de@Dusseldorf,wdrfernsehendsseldorf,77.14285714285715
de,ORF.2.de,ORF 2,WDRFernsehen.de@Dusseldorf,wdrfernsehendsseldorf,77.14285714285715
de,oe24.TV.de,oe24.TV,MTV.de@SD,mtv,72.0
de,PULS.4.de,PULS 4,BibelTVImpuls.de@SD,bibeltvimpuls,80.0
de,DR2.de,DR2,DrakeJosh.de@DACH,drakejosh,72.0
de,TV2.de,TV2,123tv.de@SD,123tv,72.0
de,TV5.Monde.de,TV5 Monde,MTV.de@SD,mtv,72.0
de,Euro.D.de,Euro D,OKWernigerode.de@SD,okwernigerode,72.0
de,France.2.de,France 2,FrankenFernsehen.de@SD,frankenfernsehen,69.23076923076923
de,France.3.de,France 3,FrankenFernsehen.de@SD,frankenfernsehen,69.23076923076923
de,France.4.de,France 4,FrankenFernsehen.de@SD,frankenfernsehen,69.23076923076923
de,France.5.de,France 5,FrankenFernsehen.de@SD,frankenfernsehen,69.23076923076923
de,Sky.Cinema.Premiere.HD.de,Sky Cinema Premiere HD,arte.de@SD,arte,67.5
de,Sky.Crime.de,Sky Crime,PlutoTVCrime.de@DACH,plutotvcrime,69.23076923076923
de,Sky.Documentaries.de,Sky Documentaries,arte.de@SD,arte,67.5
de,KinoweltTV.de,KinoweltTV,MTV.de@SD,mtv,72.0
de,Sky.One.de,Sky One,SonnenklarTV.de@SD,sonnenklartv,65.45454545454547
de,Sky.Atlantic.HD.de,Sky Atlantic HD,RiC.de@SD,ric,72.0
de,sky.showcase.de,sky showcase,HSE.de@SD,hse,72.0
de,Spiegel.Geschichte.de,Spiegel Geschichte,CuriosityChannel.de@SD,spiegeltv,78.75
